项目,设备,工站/部件/站位,规格/要求,调试步骤,调试工具,注意事项,ppt文件,PPT页面
Kinneret,Aligner,上视CCD相机模组,视场中心偏移 ≤ ±5 μm；放大倍率 4.0× ±0.02；像素分辨率 1.25 μm/px,"1. 装入标准玻璃十字标定片（P/N: CAL-X100），将其放置在卡盘中心。
2. 进入工程模式 → Camera → Calibration，运行 Auto Focus 使对比度峰值出现于行程 50%±10% 区间。
3. 采集 5×5 棋盘格图像，调用 OpenCV calibrateCamera 计算 K 矩阵与畸变系数；记录 reprojection error，需 ≤ 0.15 px。
4. 微调相机底座 X/Y 螺钉使标定片十字中心落于视场中心 ±5 μm（监控 live crosshair）。
5. 锁紧四枚 M3 锁付螺钉，扭矩 0.8 N·m；重新跑一次 Auto Focus 验证未发生位移。
6. 保存 calibration.json 并在 MES 上传，附件命名 <equipID>_camTop_<YYYYMMDD>.json。",标定片 CAL-X100；扭矩起子 0.4–1.2 N·m；OpenCV 4.8；MES 上传脚本,切勿用棉签触碰镜头镀膜面；调整螺钉前断开真空，防止吸盘吸附晶圆受撞；reprojection error > 0.2 必须重新拍片，不允许手动放行。,setup_Aligner_camera.pptx,3
MEM,Aligner,θ 旋转轴零点,机械零点与光学零点偏差 ≤ 0.005°；重复定位精度 ≤ 0.002°（3σ）,"1. 取下吸盘，安装 θ 标定治具（带四个 fiducial 点）。
2. Home 全部轴；执行 jog 至 0°；用上视相机抓取 fiducial 1、3 计算理论连线角度。
3. 若偏差 > 0.005°，在 servo 参数页面修改 ZERO_OFFSET_THETA（单位 0.001°），保存并断电重启。
4. 重复 5 次 0°→90°→180°→270°→0° 循环，记录每次回零误差，3σ ≤ 0.002° 通过。
5. 出具 Cpk 报告，附原始数据 CSV 提交 QA。",θ 标定治具 JIG-TH-02；伺服调试软件 ServoStudio v4.2,Home 之前必须确认 Z 轴在安全位（> 25 mm），否则旋转中可能与上视相机干涉。,setup_Aligner_theta.pptx,7
PDX,Aligner,Fiducial 识别参数,Match score ≥ 0.85；假阳性率 ≤ 0.5%（基于 200 片样本）,"1. 收集 50 片代表性产品（含 OK 与 NG），用图像采集工具保存 BMP 原图。
2. 在 VisionPro 中新建 PatMax 模型，从 OK 图截取 fiducial 区域，搜索范围 ±2 mm，角度 ±5°。
3. Coarse acceptance 0.5；Fine acceptance 0.75；启用 ignore polarity = false。
4. 用 200 片样本批量跑分，导出 score 分布直方图；调整 contrast threshold 直到 OK 与 NG 拉开 ≥ 0.15 间距。
5. 锁定模型，导出 .vpp 文件并写入 recipe；recipe 命名规则 product_<pn>_v<rev>.vpp。",Cognex VisionPro 9.6；统计脚本 score_hist.py；样本盒 200pcs,切勿在生产线现场直接修改 acceptance 阈值；任何阈值变更须经过 200 片回归并由工艺工程师签字。,setup_Aligner_pattern.pptx,12
Boston,Aligner,Z 轴回零传感器,回零重复性 ≤ ±2 μm；触发延迟 < 5 ms,"1. 拆下 Z 轴防尘罩，露出原点光电开关 OMRON EE-SX672。
2. 用 0.05 mm 塞尺塞入挡片与开关之间，检查间隙；标准 0.5±0.1 mm。
3. 上电，慢速 jog 至触发位，记录编码器读数 P1；抬升 1 mm 再回零，读数 P2；|P1-P2| ≤ 2 μm。
4. 若失败，检查挡片是否松动、光电开关污染；用无水乙醇清洁发射/接收窗口。
5. 回零 10 次取 max-min，写入测试报告 ZHomingTest_<date>.xlsx。",塞尺；无水乙醇；棉签；编码器读数工具,清洁光电开关时不可使用丙酮，会腐蚀塑料外壳；调整完成必须装回防尘罩，防止粉尘积累引起误触发。,setup_Aligner_zhome.pptx,4
Sonora,Conveyor,主皮带张力,张力 25±3 N；张紧轮挠度 1.5 mm 处对应力值,"1. 关停设备并锁定急停。
2. 使用张力计 SKF TKBA-50 测量主皮带中段，按住 1.5 mm 挠度键，读数应在 22–28 N。
3. 偏低：松开张紧轮固定螺母 M8，顺时针旋转调节螺杆 1/4 圈复测；每次仅调节 1/4 圈。
4. 偏高：逆时针，注意不可使皮带产生横向扭曲（用直尺检查皮带边沿平行度）。
5. 调整后空载运行 30 min，复测张力（皮带预热后会略松）。
6. 填写《皮带张力点检表》并贴标签注明下次到期日（90 天）。",SKF TKBA-50 张力计；M8 套筒扳手；直尺 500 mm,调整时手指不可进入皮带与张紧轮夹角；皮带温度高于 50°C 时禁止测量（读数失准）。,setup_Conveyor_belt_tension.pptx,2
Yucatan,Conveyor,编码器对中,编码器轴与电机轴同轴度 ≤ 0.05 mm；联轴器间隙 1±0.2 mm,"1. 拆下编码器防护罩，目视检查联轴器是否有裂纹。
2. 旋松编码器安装座四枚 M4 螺钉至可微动状态。
3. 使用百分表吸附在电机端面，表头顶住编码器轴端面，慢速旋转电机 360°，读出最大-最小值。
4. 调整编码器位置使径向跳动 ≤ 0.05 mm；轴向间隙用塞尺测量为 1±0.2 mm。
5. 按对角顺序拧紧螺钉，扭矩 2.5 N·m；复测同轴度。
6. 上电执行 1 m 走带测试，编码器读数与皮带刻度尺误差 ≤ 0.1%。",百分表 0.01 mm；塞尺；扭矩起子；皮带刻度尺,联轴器若有裂纹必须更换，不可继续使用；编码器拆装时严禁敲击轴端，会损伤光栅码盘。,setup_Conveyor_encoder.pptx,6
MHK,Conveyor,入口光幕安装,光幕保护高度 ≥ 600 mm；光轴间距 ≤ 14 mm（手指检测）；响应时间 ≤ 20 ms,"1. 按图纸确认光幕 Sick C4000 安装位置距危险点 ≥ 安全距离 S = K×T+C（K=2000, T=0.04s, C=8d=112mm）= 192 mm。
2. 用激光对中器对齐发射端与接收端，确保 4 角光斑都落在接收窗内。
3. 上电后观察光幕 OK 指示灯应常亮；逐根光轴用遮挡棒（φ14 mm）测试，每根均能停机。
4. 测量响应时间：示波器接 OSSD 输出与遮挡触发，响应 ≤ 20 ms。
5. 在 PLC 安全程序中确认 reset 必须为双手操作；模拟急停后须人工 reset 才可恢复。
6. 填写 PSDI 测试报告，由 EHS 工程师签字。",Sick C4000；激光对中器；φ14 mm 检测棒；示波器；安全 PLC 编程器,光幕调试期间整线必须挂牌上锁（LOTO）；测试棒不可用手指代替；任何旁路接线属违规，立即停线。,setup_Conveyor_lightcurtain.pptx,1
PDX,FTU,探针卡接触电阻,Cres ≤ 50 mΩ/pin；接触次数 < 50 万次时不退化超过 20%,"1. 装入探针卡，闭合压板，按下 contact check 按键。
2. 系统对每根 pin 施加 100 mA，测量四线电阻；导出 ftu_cres_<sn>.csv。
3. 若有 pin > 50 mΩ：取下卡片，目视检查是否有脏污或针尖磨平。
4. 用 polishing pad（3M 261X-A30）轻轻擦拭针尖 5 次（圆周方向）。
5. 复测；若仍 > 50 mΩ，记录 pin 编号并标记为 BAD_PIN，需联系探针厂换针。
6. 完成后更新探针卡寿命计数器（设备 UI → Maintenance → Card Counter）。",Polishing pad 3M 261X-A30；四线电阻表 Keithley 2400；放大镜 ×20,polishing pad 每次只用一面；过度抛光会缩短探针寿命；针尖凹陷 > 5 μm 必须直接换针。,setup_FTU_probe_cres.pptx,9
MEM,FTU,加热单元温度校准,设定 85.0 °C 时实测 85.0±0.3 °C；均匀度 ≤ 0.5 °C（5 点）,"1. 取下 DUT 治具，安装 5 通道铂电阻温度采集板 PT100-5CH，5 点分布在加热板四角与中心。
2. 设定 25 → 60 → 85 → 105 °C 阶梯，每段保温 10 min 后采样 1 min。
3. 计算每个设定点 5 个测点的均值与极差；85 °C 均值偏差 ≤ 0.3，极差 ≤ 0.5。
4. 偏差超标：在 PID 设定页 → Calibration → Offset 输入校正量（正负皆可），重新跑一遍。
5. 极差超标：检查加热膜是否局部失效；用红外热像仪复查温度分布。
6. 校准合格后贴 Calibration Sticker，写明下次校准日期（6 个月后）。",PT100-5CH 采集板；标准源 Fluke 9118A；FLIR E8 红外热像仪,PT100 接线必须使用屏蔽线并单点接地，否则现场变频器会引入数 °C 的干扰；高温段操作戴隔热手套。,setup_FTU_heater_cal.pptx,5
Kinneret,FTU,DUT 治具下压力,下压力 30±2 N；行程到位检测信号 < 50 ms,"1. 在治具压头与底板之间夹入测力片 Tekscan FlexiForce A201。
2. 手动触发下压，记录力值；连续 10 次取平均。
3. 平均值 < 28 N：旋紧气缸调压阀（顺时针 1/8 圈），气压增加约 0.02 MPa。
4. 平均值 > 32 N：松调压阀；同时检查气缸活塞是否泄漏（涂肥皂水观察气泡）。
5. 行程信号检测：示波器测下压触发到 in-position 信号，应 < 50 ms。
6. 校准后清理测力片占用空间，确认 DUT 装夹不受影响。",Tekscan FlexiForce A201；示波器；调压阀；肥皂水,测力片单次使用后精度下降，校准用专用件；气压调整后必须让气路稳压 2 min 再读数。,setup_FTU_jig_force.pptx,10
