项目,机台,代码,英文标题,中文标题,内容,解除流程,注意事项,ppt文件,ppt页面
Kinneret,Loader,E1001,Vacuum Loss on End-Effector,末端吸盘真空丢失,末端吸盘真空压力低于 -70 kPa 持续 200 ms，系统判定吸附失效并立即停止机械手运动。常见于吸盘磨损、O-ring 老化、真空管路接头松动、真空泵性能下降等场景。设备会在屏幕弹窗并把当前晶圆 SN 写入异常隔离队列。,"1. 进入安全模式，确认晶圆未掉落到机内。
2. 目视检查吸盘表面有无划痕、异物。
3. 用真空表实测吸附负压；< -70 kPa 进入维修流程。
4. 更换吸盘或 O-ring（参考 setup_Loader_vacuum）。
5. 重做 10 次抓放测试无掉片，按 reset 解除报警。
6. 在 MES 把隔离队列里的晶圆放行或报废。",若已发生掉片，必须按 IPQC 流程评估损伤；切勿直接抓回继续生产。,alarm_Loader_E1001.pptx,4
MEM,Pump,E1002,Pump Overload Current,泵浦过载电流,干泵电流超过额定值 110%（典型 5.5 A），持续 5 s 触发保护停机。原因包括：吸入端堵塞、转子摩擦增大、电压异常、轴承失效。继续运行将损坏定子绕组。,"1. 立即断开主电源开关。
2. 等待泵冷却（至少 30 min）。
3. 检查进气过滤器 ΔP，清洁或更换。
4. 测量泵电源电压 380V ±5%。
5. 手动盘车应轻松（手柄可转动 ≥ 1 圈无卡滞）。
6. 故障排除后试运行 10 min，电流回到额定值 ≤ 90% 才放行。",热保护跳闸后必须等待至完全冷却再启动，否则二次跳闸将损坏电机；连续两次过载必须停线深查。,alarm_Pump_E1002.pptx,2
PDX,Heater,E1003,Thermocouple Open Circuit,热电偶断路,PID 控制器检测到热电偶回路开路（输入电压 > 25 mV 浮动）。一旦该报警出现，加热回路立即被切断防止失控升温。,"1. 关闭加热电源，等待温度下降到 < 50 °C。
2. 检查热电偶接线端子是否松动、氧化。
3. 用万用表测热电偶两端阻值（K 型应 < 20 Ω）。
4. 阻值无穷大说明热电偶已断，更换新件 P/N: TC-K-1.5。
5. 装好后做温度上升测试到工艺温度。
6. 解除报警。",热电偶断路时切勿短路 PV 端模拟温度，会导致加热失控；务必先排除故障再恢复加热。,alarm_Heater_E1003.pptx,3
Boston,Aligner,E1004,Pattern Match Score Low,图形匹配分值过低,VisionPro 模板匹配分值低于 acceptance（0.6），系统认定无法可靠对位。可能原因：产品脏污、光源亮度下降、镜头污染、模板与产品差异（来料变更）。,"1. 暂停设备，取下待测产品检查表面。
2. 拍取实际图像与模板对比，确认差异类型。
3. 若是光源/镜头问题：清洁后复测，分值应 ≥ 0.7。
4. 若是来料变更：联系工艺工程师评估是否需要重做模板。
5. 解除报警前必须连续 20 件无 NG。",不可在生产中随意降低 acceptance；模板调整必须经 ECN 审批。,alarm_Aligner_E1004.pptx,6
Sonora,Conveyor,E1005,Emergency Stop Pressed,急停按钮被按下,任一急停按钮被按下，整线立即停机并切断所有运动电源。HMI 显示被按下的按钮编号。,"1. 确认安全状况（人员、产品、设备）。
2. 找到亮起红灯的急停按钮，旋转拔出。
3. 按双手 reset 按键 1 s。
4. 等待系统自检通过，HMI 报警消失。
5. 验证未发生设备误动作。",急停拔出前必须确认按下原因已消除；不可绕过任何 reset 步骤。,alarm_Conveyor_E1005.pptx,1
Yucatan,Stage,E1006,Servo Position Error,伺服位置误差超差,伺服跟随误差超过设定阈值（典型 50 μm），驱动器报警停车。常见原因：负载突变、机械碰撞、参数失调、丝杆/导轨润滑不良。,"1. 不要立即按 reset；先观察设备是否处于异常位置。
2. 检查工作台是否撞到障碍物或异物。
3. 移除障碍后手动 jog 验证轴可移动。
4. 查驱动器历史报警记录定位首次故障时刻。
5. 检查机械结构（丝杆螺母、联轴器、限位）。
6. 故障排除后清除报警，做轴 Cpk 验证。",位置误差报警常常是机械问题预兆；连续出现必须深查丝杆/导轨状态。,alarm_Stage_E1006.pptx,5
MHK,FTU,E1007,Test Yield Below Threshold,测试良率低于阈值,连续 50 片 yield < 85%，系统弹出预警提醒工程师介入。可能原因：探针卡老化、产品来料异常、ATE 校准漂移。,"1. 暂停批次，隔离最近 50 片产品。
2. 调出测试 log，按失败 bin 分布定位主要不良类型。
3. 若失败集中在某些 pin → 检查探针接触电阻（参考 setup_FTU_probe_cres）。
4. 若失败均匀分布 → 检查产品批次（来料追溯）。
5. 找到根因后做首件 OK 才放行批次。",良率报警不是单纯设备故障；务必联合工艺、来料、测试三方共同分析。,alarm_FTU_E1007.pptx,7
Kinneret,SensorModule,E1008,Sensor Out of Range,传感器超量程,激光位移传感器读数超出量程（典型 ±5 mm），软件无法生成可靠测量值。可能原因：工件缺失、工件型号变更、传感器探头被污染或撞击位移。,"1. 检查工位是否有工件；缺失 → 检查上料环节。
2. 工件存在但读数仍超量程 → 检查传感器对准方向。
3. 清洁传感器探头窗口（无尘布 + IPA）。
4. 必要时重新做 Teaching Origin。
5. 解除报警，连续 10 件无异常方可放行。",切勿直接修改量程参数掩盖问题，会导致后续质量问题；超量程必须找出原因。,alarm_SensorModule_E1008.pptx,3
MEM,Loader,E1009,FOUP Not Closed Properly,FOUP 未正确关闭,FOUP 门传感器检测到关门状态异常，开门器无法完成 latch 动作。常见原因：FOUP 内晶圆突出、定位销磨损、FOUP 损坏。,"1. 安全模式下手动取出 FOUP 检查内部。
2. 确认晶圆是否正确插在槽内（无突出）。
3. 检查 FOUP 门密封圈是否完好。
4. 损坏 FOUP 立即报废，不可继续使用。
5. 更换新 FOUP 重新上料。",FOUP 损坏会造成晶圆污染；不可勉强使用密封不良的 FOUP。,alarm_Loader_E1009.pptx,8
PDX,Aligner,E1010,Calibration Expired,校准已过期,设备运行天数超过校准周期（90 天），软件强制提示重新校准。在校准完成前禁止生产。,"1. 安排 PM 人员按 setup_Aligner_camera 重做校准。
2. 校准合格后在 maintenance UI 重置校准日期。
3. 校准 report 上传 QMS 系统。",校准过期是合规要求，不可旁路；客户审计会查校准记录。,alarm_Aligner_E1010.pptx,2
Boston,Conveyor,E1011,Jam Detected at Station 5,Station 5 卡料,Station 5 入口光电传感器检测到产品停留时间 > 30 s，判定为卡料。设备停止上下游线段。,"1. 取出卡住的产品检查是否变形损坏。
2. 检查 Station 5 内部有无机械干涉。
3. 清理可能的碎屑或异物。
4. 手动单步运行 Station 5 verify 顺畅。
5. 解除报警，先放行 5 件试运行无卡料才正式生产。",卡料常为机械磨损征兆；连续卡料需安排深度检修。,alarm_Conveyor_E1011.pptx,4
