项目,机台,问题,失败描述,失败分析,根因,纠正步骤,PPT文件,PPT页面
MEM,Stage,直线电机轻微抖动,2026-01 月起，MEM 线 Stage-02 在 X 轴高速段（> 600 mm/s）周期性出现 5–8 μm 微抖动，导致下游 Aligner 拍照模糊，FAI 误判率上升 0.7%。低速段无异常，断电重启后短暂改善 2–3 h。,用激光干涉仪记录跟随误差，FFT 频谱在 187 Hz 出现明显峰值；与电机极对数 × 转速吻合，判定为换向 ripple。同时发现磁条上有金属碎屑（数颗粒度 < 50 μm）；用塑料刮刀清理后 ripple 幅度下降 60%。,磁条上金属碎屑与控制器换向滤波器参数老化共同导致 ripple 放大。,1) 按 setup_Stage_magnet 清洁磁条；2) 在驱动器中重新整定 current loop bandwidth 由 800 Hz 提升至 1200 Hz；3) 加装磁条防尘罩；4) 建立每 1500h 强制清洁 PM 项。,exp_MEM_Stage_servo_ripple.pptx,4
MHK,Stage,气浮平台间歇接触底,MHK 线 Stage-04 每周 1–2 次发生气浮接触底报警 E1045，每次需停机 30 min，6 周内已造成 4.5 小时停机。,压力记录显示气源压力短时跌落至 0.45 MPa，持续 200–800 ms，与厂房其他大用气设备启动同步。气浮设备本地缓冲罐容积 5 L 仅能维持 0.5 s。增加缓冲罐与高速恢复阀后，未再出现接触底事件。,厂务气源末端波动；本地缓冲不足。,1) 增加 20 L 缓冲罐；2) 安装高速恢复阀（响应 < 50 ms）；3) 厂务侧增加气源稳压阀；4) 修改报警逻辑：压力 < 0.52 MPa 即软停机，避免接触底。,exp_MHK_Stage_air_drop.pptx,6
Kinneret,Heater,加热元件局部失效,Kinneret 线 Heater-01 加热膜中心温度比四角低 3.8 °C（标准 ≤ 0.5 °C），导致产品中央段固化不足，剥离不良率上升。,红外热像仪显示加热膜中心约 30 mm × 30 mm 区域呈暗色冷区。剥开发现该区域有一处局部碳化，疑似过去 EOL 短时电压尖峰。,供应商批次问题（绝缘层不均），结合一次电压尖峰加速失效。,1) 整片更换加热膜；2) 重做 setup_Heater_pid；3) 增加电源浪涌保护器；4) 与供应商建立批次追溯并要求 100% IR 来料检验。,exp_Kinneret_Heater_film_local.pptx,2
所有项目,Pump,干泵密封漏油,多条线干泵在 1500–1800h 间陆续出现轴端漏油，漏油量 5–20 mL/天。,拆解发现机械密封端面磨损，密封介质受工艺尾气腐蚀。原配密封材质 FKM 在含氟工艺下寿命远低于 2000h。,密封材质与工艺尾气不兼容（设计选型问题）。,1) 更换 FFKM (Kalrez 4079) 材质机械密封；2) 修订 BOM；3) PM 周期由 2000h 调整为 1800h；4) 与泵厂建立工艺尾气兼容性评估流程。,exp_All_Pump_seal_leak.pptx,7
Sonora,Aligner,上视相机对位漂移,Sonora 线 Aligner-03 上视相机每天累积偏移 8–12 μm，每 8h 必须重新校准否则对位 NG。,用恒温箱在相机周围模拟温差 2 °C，发现偏移 ~5 μm/°C。原相机底座为铝合金，热膨胀系数 23 ppm/°C，距离热源（控制柜）较近。,热膨胀导致相机机械结构漂移；选型阶段未考虑长时温度稳定性。,1) 把相机底座更换为殷钢（Invar，热膨胀 < 2 ppm/°C）；2) 在相机外加保温罩；3) 调整控制柜风道避免热气流直吹相机区域；4) 漂移问题消失。,exp_Sonora_Aligner_thermal.pptx,5
Yucatan,Loader,FOUP 门密封不良,Yucatan 线 Loader-02 多片晶圆边沿出现颗粒污染，良率下降 1.5%。,对污染颗粒做 SEM/EDS 分析，发现含金属铁、橡胶颗粒。检查 FOUP 门密封条断面有裂纹，开门器 latch 与门钩对位偏 0.6 mm 致密封长期变形。,FOUP 门钩磨损 + 长期密封变形产生橡胶碎屑；机械维护不到位。,1) 全部更换 latch 钩；2) 重做 setup_Loader_foup；3) FOUP 密封条改为每年强制更换；4) 增加每月密封间隙点检；5) 颗粒污染降至背景水平。,exp_Yucatan_Loader_foup_seal.pptx,4
PDX,FTU,HSS 眼图边缘抖动,PDX 线 FTU-01 测试 PCIe Gen3 信号眼宽偶发降低，眼图测试 1–2% 失败率。,示波器抓取异常时刻发现电源纹波 80 mV @ 2 MHz，超过 50 mV 标准。追溯电源是一个公用 LDO 给探针卡与控制板共用，控制板 SPI 通讯抖动耦合到 PCIe 信号。,电源拓扑设计缺陷：探针卡与控制板共用 LDO，瞬态电流干扰耦合。,1) 为探针卡增加独立 LDO TPS7A47；2) 增加 22 μF + 1 μF 去耦电容；3) 重做 setup_FTU_eye_diagram 验证，眼宽改善 30%；4) 失败率降至 < 0.1%。,exp_PDX_FTU_power_noise.pptx,8
Boston,Conveyor,拐弯段间歇停机,Boston 线 Conveyor-05 拐弯段每天 5–8 次停机报警 E1011 卡料，每次清理 1–2 min，整线 OEE 下降 4%。,高速摄像（500 fps）回放发现产品在拐弯段轻微翻倒。原因是拐弯段速度比主线快 5%。变频器参数被前任工程师误调（无 ECN 记录）。,变频器参数未受控变更 + 拐弯段速度不匹配。,1) 重做 setup_Conveyor_curve；2) 把变频器锁屏保护并设密码；3) 建立变频器参数 Git 版本管理；4) 重新培训操作工 SOP；5) 卡料率降至 0.2 次/天。,exp_Boston_Conveyor_speed.pptx,13
MHK,Aligner,UV 灯能量衰减异常,MHK 线 Aligner-07 UV 灯使用 600h 后能量从 95 mW/cm² 跌至 50 mW/cm²，远低于厂家 1000h 寿命承诺。,拆下 UV 灯发现灯管表面有油雾沉积，主因是位于灯管下方的 Loader 气缸密封件老化漏油，雾化油气在灯管表面碳化。,周边设备漏油污染 UV 灯表面，加速衰减。,1) 修复 Loader 气缸漏油；2) 增加 UV 灯防护石英罩；3) 清洁灯管表面（仅可由厂家执行）；4) 监控点检；5) 灯管寿命恢复至 850–950h。,exp_MHK_Aligner_uv_decay.pptx,10
Kinneret,SensorModule,压力传感器零位漂移,Kinneret 线 SensorModule-02 压力传感器每周漂移 0.5–0.8 kPa，连续 4 周必须重校。,替换标准 Druck DPI 610 验证传感器本体性能正常。追根究底发现该机间歇出现 PE 接地不良 0.8 Ω（标准 < 0.1 Ω），共模噪声引起 ADC 输入端漂移。,电气接地不良导致测量漂移。,1) 修复接地（地线打磨 + 导电脂）；2) 接地电阻降至 0.04 Ω；3) 漂移降至 < 0.05 kPa/周；4) 全厂排查同类接地问题。,exp_Kinneret_SensorModule_ground.pptx,3
